annotator s1w1 s1w2 s1w3 s1w4 s1w5 s1w6 s1w7 s2w1 s2w2 s2w3 s2w4 s2w5 s2w6 s2w7 score
participant32 graduate begin career and band does too company suffer loss and worker does too 4
participant32 road cross line and bridge does too route follow road and trail does too 6
participant32 drug produce effect and combination does too employee start work and team does too 5
participant32 government use power and people does too authority exercise influence and court does too 5
participant32 firm cause injury and incident does too question raise head and event does too 4
participant32 writer read word and teacher does too family receive letter and council does too 3
participant32 gentleman close eye and chairman does too father stretch arm and player does too 3
participant32 panel discuss issue and committee does too project present problem and work does too 5
participant32 writer read word and reader does too people remember name and friend does too 4
participant32 doctor use test and study does too physician pass time and child does too 4
participant32 girl like people and woman does too survey collect information and student does too 4
participant32 agent sell property and firm does too group hold meeting and court does too 5
participant32 employee start work and business does too graduate begin career and student does too 5
participant32 page provide datum and section does too student reach level and pupil does too 4
participant32 force win battle and state does too commodity meet requirement and product does too 5
participant32 customer pay price and business does too company cut cost and government does too 5
participant32 wife pour tea and worker does too worker join party and professional does too 6
participant32 route follow road and tour does too parent set example and man does too 3
participant32 patient need treatment and child does too system use method and researcher does too 5
participant32 girl like people and woman does too survey collect information and council does too 3
participant32 wife pour tea and man does too study emphasise need and report does too 2
participant32 drug produce effect and plant does too committee consider matter and board does too 4
participant32 man shut door and police does too page provide datum and section does too 3
participant32 school encourage child and campaign does too employee leave company and visitor does too 3
participant32 writer read word and teacher does too people remember name and friend does too 4
participant32 case require attention and law does too customer pay price and business does too 4
participant32 superpower fight war and army does too plan increase number and change does too 2
participant32 writer read word and teacher does too family receive letter and applicant does too 6
participant32 medication achieve result and patient does too man lift hand and woman does too 3
participant32 man wave hand and crowd does too employee start work and team does too 3
participant32 school encourage child and campaign does too employee leave company and student does too 4
participant32 paper address question and project does too study pose problem and question does too 6
participant32 project present problem and work does too programme face difficulty and community does too 5
participant32 paper address question and book does too project present problem and document does too 6
participant32 case require attention and process does too customer pay price and taxpayer does too 5
participant32 pupil use knowledge and student does too company provide system and centre does too 5
participant32 committee consider matter and board does too panel discuss issue and committee does too 6
participant32 father stretch arm and player does too man wave hand and crowd does too 6
participant32 man shut door and activist does too page provide datum and section does too 5
participant32 design reduce amount and technique does too company cut cost and council does too 5
participant32 wife pour tea and man does too worker join party and engineer does too 3
participant32 writer read word and reader does too people remember name and author does too 4
participant32 girl like people and friend does too woman ask man and friend does too 5
participant32 user send message and system does too man hear word and audience does too 4
participant32 report stress importance and official does too study emphasise need and report does too 6
participant32 force win battle and army does too people play game and team does too 5
participant32 student acquire skill and child does too family buy home and father does too 4
participant32 force win battle and state does too people play game and child does too 2
participant32 case require attention and process does too patient need treatment and child does too 3
participant32 patient need treatment and family does too programme offer support and site does too 5
participant32 patient need treatment and child does too programme offer support and centre does too 4
participant32 woman ask man and people does too user send message and server does too 4
participant32 pupil achieve end and school does too gentleman close eye and employer does too 2
participant32 agent sell property and firm does too family buy home and parent does too 6
participant32 gentleman close eye and employer does too father stretch arm and player does too 4
participant32 company suffer loss and economy does too firm cause injury and incident does too 3
participant32 woman ask man and people does too father stretch arm and player does too 4
participant32 patient need treatment and child does too system use method and teacher does too 5
participant32 woman ask man and friend does too father stretch arm and woman does too 2
participant32 committee consider matter and board does too study pose problem and question does too 5
participant32 medication achieve result and patient does too drug produce effect and plant does too 5
participant32 woman ask man and people does too user send message and system does too 4
participant32 patient need treatment and family does too system use method and researcher does too 5
participant32 people share interest and customer does too member express view and committee does too 6
participant32 report stress importance and minister does too study emphasise need and report does too 5
participant32 survey collect information and student does too page provide datum and section does too 5
participant32 report stress importance and official does too company cut cost and government does too 5
participant32 researcher develop technique and university does too system use method and researcher does too 5
participant32 woman drink water and man does too doctor use test and service does too 5
participant32 man wave hand and referee does too employee start work and team does too 3
participant32 programme offer support and site does too service provide help and scheme does too 5
participant32 paper address question and book does too project present problem and work does too 6
participant32 man hear word and audience does too people remember name and friend does too 5
participant32 panel discuss issue and board does too project present problem and work does too 5
participant32 girl like people and friend does too survey collect information and council does too 4
participant32 drug produce effect and plant does too committee consider matter and panel does too 4
participant32 drug produce effect and combination does too committee consider matter and panel does too 4
participant32 team win match and club does too design reduce amount and technique does too 3
participant32 member attend conference and delegate does too people share interest and organisation does too 5
participant32 woman drink water and girl does too doctor use test and study does too 5
participant32 customer pay price and taxpayer does too company cut cost and council does too 5
participant32 product satisfy demand and system does too commodity meet requirement and system does too 6
participant32 programme offer support and centre does too road cross line and route does too 4
participant32 service provide help and course does too product satisfy demand and work does too 5
participant32 member attend conference and representative does too people share interest and customer does too 5
participant32 worker join party and professional does too employee leave company and visitor does too 6
participant32 woman drink water and man does too doctor use test and study does too 4
participant32 mother leave house and father does too family buy home and parent does too 5
participant32 people remember name and author does too physician pass time and family does too 3
participant32 commodity meet requirement and product does too charity help people and project does too 6
participant32 agent sell property and firm does too family buy home and father does too 5
participant32 product satisfy demand and work does too commodity meet requirement and system does too 6
participant32 committee consider matter and panel does too panel discuss issue and board does too 6
participant32 member attend conference and representative does too group hold meeting and court does too 5
participant32 man shut door and police does too gentleman close eye and employer does too 3
participant32 parent set example and man does too company provide system and centre does too 2
participant32 family receive letter and applicant does too survey collect information and student does too 5
participant32 pupil achieve end and group does too gentleman close eye and employer does too 2
participant32 author write book and poet does too delegate buy land and investor does too 5
participant32 physician pass time and family does too road cross line and route does too 2
participant32 service provide help and scheme does too researcher develop technique and university does too 5
participant32 road cross line and bridge does too route follow road and tour does too 6
participant32 user send message and server does too man hear word and audience does too 5
participant32 case require attention and law does too customer pay price and taxpayer does too 4
participant32 employee start work and team does too graduate begin career and band does too 3
participant32 drug produce effect and plant does too employee start work and team does too 3
participant32 firm cause injury and incident does too question raise head and issue does too 4
participant32 man wave hand and referee does too employee leave company and visitor does too 3
participant32 girl like people and woman does too woman ask man and friend does too 5
participant32 charity help people and volunteer does too school encourage child and parent does too 5
participant32 panel discuss issue and board does too project present problem and document does too 5
participant32 case require attention and process does too customer pay price and business does too 3
participant32 road cross line and route does too route follow road and trail does too 6
participant32 paper address question and project does too study pose problem and paper does too 6
participant32 wife pour tea and worker does too woman drink water and man does too 5
participant32 user send message and server does too family receive letter and council does too 5
participant32 girl like people and woman does too plan increase number and change does too 5
participant32 man shut door and police does too route follow road and tour does too 4
participant32 author write book and historian does too writer read word and reader does too 4
participant32 wife pour tea and worker does too worker join party and engineer does too 2
participant32 woman ask man and people does too father stretch arm and woman does too 4
participant32 report stress importance and official does too study emphasise need and statement does too 6
participant32 woman drink water and man does too system use method and teacher does too 5
participant32 researcher develop technique and engineer does too system use method and researcher does too 5
participant32 parent set example and man does too company provide system and university does too 2
participant32 route follow road and tour does too parent set example and government does too 3
participant32 superpower fight war and army does too team win match and club does too 5
participant32 worker join party and engineer does too employee leave company and visitor does too 3
participant32 member attend conference and representative does too people share interest and organisation does too 5
participant32 delegate buy land and corporation does too agent sell property and firm does too 6
participant32 people remember name and author does too physician pass time and child does too 4
participant32 superpower fight war and country does too force win battle and state does too 6
participant32 pupil use knowledge and student does too student acquire skill and group does too 5
participant32 study pose problem and question does too programme face difficulty and community does too 5
participant32 delegate buy land and corporation does too mother leave house and father does too 3
participant32 medication achieve result and programme does too man lift hand and woman does too 2
participant32 case require attention and law does too patient need treatment and child does too 5
participant32 wife pour tea and man does too woman drink water and man does too 5
participant32 superpower fight war and country does too team win match and club does too 4
participant32 project present problem and document does too programme face difficulty and community does too 5
participant32 force win battle and army does too commodity meet requirement and system does too 4
participant32 school encourage child and parent does too employee leave company and visitor does too 2
participant32 mother leave house and father does too school encourage child and campaign does too 4
participant32 pupil use knowledge and child does too company provide system and university does too 3
participant32 company provide system and centre does too government use power and company does too 5
participant32 report stress importance and minister does too firm cause injury and storm does too 2
participant32 mother leave house and father does too family buy home and father does too 5
participant32 man hear word and audience does too people remember name and author does too 5
participant32 man shut door and activist does too gentleman close eye and chairman does too 2
participant32 charity help people and project does too school encourage child and campaign does too 4
participant32 father stretch arm and woman does too man wave hand and referee does too 5
participant32 firm cause injury and storm does too question raise head and event does too 5
participant32 report stress importance and minister does too company cut cost and council does too 6
participant32 superpower fight war and country does too team win match and player does too 5
participant32 plan increase number and development does too design reduce amount and technique does too 5
participant32 man wave hand and crowd does too employee leave company and visitor does too 4
participant32 girl like people and friend does too plan increase number and development does too 2
participant32 panel discuss issue and committee does too project present problem and document does too 6
participant32 design reduce amount and technique does too company cut cost and government does too 5
participant32 woman ask man and friend does too user send message and server does too 5
participant32 member attend conference and representative does too case require attention and process does too 4
participant32 project present problem and document does too programme face difficulty and country does too 4
participant32 project present problem and work does too programme face difficulty and country does too 5
participant32 government use power and company does too authority exercise influence and court does too 6
participant32 report stress importance and minister does too firm cause injury and incident does too 4
participant32 company provide system and university does too government use power and company does too 5
participant32 medication achieve result and programme does too man lift hand and wrestler does too 3
participant32 medication achieve result and programme does too drug produce effect and combination does too 6
participant32 customer pay price and taxpayer does too graduate begin career and student does too 5
participant32 group hold meeting and court does too man lift hand and woman does too 4
participant32 report stress importance and official does too firm cause injury and incident does too 5
participant32 graduate begin career and student does too company suffer loss and economy does too 5
participant32 force win battle and army does too people play game and child does too 2
participant32 company suffer loss and worker does too firm cause injury and incident does too 6
participant32 drug produce effect and combination does too employee start work and business does too 2
participant32 product satisfy demand and work does too study emphasise need and report does too 5
participant32 writer read word and reader does too family receive letter and applicant does too 6
participant32 mother leave house and husband does too school encourage child and campaign does too 2
participant32 member express view and committee does too pupil achieve end and school does too 5
participant32 service provide help and course does too researcher develop technique and engineer does too 5
participant32 committee consider matter and board does too study pose problem and paper does too 5
participant32 delegate buy land and investor does too mother leave house and father does too 5
participant32 company provide system and centre does too government use power and people does too 5
participant32 family receive letter and council does too survey collect information and student does too 5
participant32 committee consider matter and board does too panel discuss issue and board does too 6
participant32 researcher develop technique and engineer does too government use power and people does too 5
participant32 writer read word and reader does too family receive letter and council does too 5
participant32 commodity meet requirement and product does too charity help people and volunteer does too 5
participant32 member express view and committee does too company suffer loss and worker does too 6
participant32 product satisfy demand and system does too study emphasise need and statement does too 6
participant32 product satisfy demand and system does too study emphasise need and report does too 5
participant32 commodity meet requirement and system does too charity help people and project does too 3
participant32 wife pour tea and worker does too study emphasise need and report does too 2
participant32 researcher develop technique and university does too system use method and teacher does too 5
participant32 people share interest and organisation does too authority exercise influence and court does too 6
participant32 product satisfy demand and work does too commodity meet requirement and product does too 6
participant32 report stress importance and minister does too study emphasise need and statement does too 6
participant32 programme offer support and site does too road cross line and bridge does too 3
participant32 member attend conference and representative does too case require attention and law does too 5
participant32 customer pay price and taxpayer does too company cut cost and government does too 5
participant32 pupil use knowledge and child does too student acquire skill and group does too 5
participant32 member attend conference and representative does too group hold meeting and company does too 5
participant32 medication achieve result and patient does too drug produce effect and combination does too 6
participant32 people remember name and friend does too physician pass time and family does too 4
participant32 doctor use test and study does too physician pass time and family does too 4
participant32 patient need treatment and family does too programme offer support and centre does too 5
participant32 wife pour tea and man does too study emphasise need and statement does too 1
participant32 programme offer support and site does too road cross line and route does too 2
participant32 design reduce amount and technology does too company cut cost and council does too 5
participant32 page provide datum and website does too student reach level and pupil does too 4
participant32 paper address question and book does too study pose problem and question does too 6
participant32 page provide datum and section does too student reach level and player does too 4
participant32 student acquire skill and child does too doctor use test and study does too 4
participant32 author write book and poet does too delegate buy land and corporation does too 5
participant32 study pose problem and question does too programme face difficulty and country does too 5
participant32 parent set example and government does too company provide system and centre does too 5
participant32 paper address question and project does too project present problem and document does too 6
participant32 government use power and company does too authority exercise influence and state does too 6
participant32 team win match and player does too people play game and child does too 5
participant32 man hear word and listener does too people remember name and author does too 4
participant32 man shut door and activist does too gentleman close eye and employer does too 2
participant32 writer read word and teacher does too people remember name and author does too 5
participant32 programme face difficulty and community does too parent set example and man does too 4
participant32 company suffer loss and economy does too firm cause injury and storm does too 4
participant32 agent sell property and firm does too group hold meeting and company does too 4
participant32 girl like people and woman does too woman ask man and people does too 4
participant32 superpower fight war and country does too plan increase number and change does too 3
participant32 author write book and poet does too writer read word and teacher does too 4
participant32 service provide help and course does too researcher develop technique and university does too 5
participant32 member attend conference and delegate does too case require attention and process does too 5
participant32 report stress importance and official does too firm cause injury and storm does too 6
participant32 pupil use knowledge and child does too company provide system and centre does too 5
participant32 student acquire skill and group does too doctor use test and service does too 5
participant32 delegate buy land and investor does too agent sell property and owner does too 6
participant32 service provide help and scheme does too researcher develop technique and engineer does too 5
participant32 doctor use test and service does too physician pass time and family does too 6
participant32 member express view and participant does too company suffer loss and worker does too 4
participant32 student acquire skill and group does too family buy home and father does too 3
participant32 man shut door and activist does too route follow road and trail does too 3
participant32 medication achieve result and patient does too student reach level and pupil does too 5
participant32 programme offer support and centre does too service provide help and scheme does too 5
participant32 team win match and player does too people play game and team does too 6
participant32 father stretch arm and woman does too man wave hand and crowd does too 5
participant32 man lift hand and wrestler does too question raise head and issue does too 5
participant32 patient need treatment and family does too system use method and teacher does too 4
participant32 student acquire skill and child does too doctor use test and service does too 5
participant32 plan increase number and change does too design reduce amount and technique does too 6
participant32 delegate buy land and investor does too mother leave house and husband does too 4
participant32 member attend conference and delegate does too case require attention and law does too 4
participant32 people play game and team does too worker join party and professional does too 5
participant32 pupil use knowledge and child does too student acquire skill and child does too 5
participant32 pupil use knowledge and student does too authority exercise influence and state does too 5
participant32 mother leave house and husband does too family buy home and father does too 3
participant32 product satisfy demand and work does too study emphasise need and statement does too 5
participant32 force win battle and army does too commodity meet requirement and product does too 4
participant32 wife pour tea and man does too worker join party and professional does too 2
participant32 drug produce effect and combination does too committee consider matter and board does too 4
participant32 service provide help and course does too product satisfy demand and system does too 6
participant32 worker join party and engineer does too employee leave company and student does too 5
participant32 people share interest and organisation does too member express view and participant does too 6
participant32 parent set example and government does too company provide system and university does too 4
participant32 member express view and committee does too company suffer loss and economy does too 5
participant32 agent sell property and owner does too group hold meeting and court does too 5
participant32 team win match and club does too design reduce amount and technology does too 2
participant32 customer pay price and business does too graduate begin career and band does too 3
participant32 medication achieve result and patient does too man lift hand and wrestler does too 3
participant32 programme offer support and centre does too service provide help and course does too 5
participant32 member express view and participant does too pupil achieve end and school does too 5
participant32 man wave hand and referee does too employee start work and business does too 2
participant32 medication achieve result and programme does too student reach level and player does too 4
participant32 product satisfy demand and system does too commodity meet requirement and product does too 6
participant32 committee consider matter and panel does too study pose problem and question does too 6
participant32 researcher develop technique and engineer does too government use power and company does too 5
participant32 man shut door and police does too page provide datum and website does too 2
participant32 woman drink water and girl does too doctor use test and service does too 3
participant32 worker join party and professional does too employee leave company and student does too 5
participant32 people share interest and customer does too member express view and participant does too 5
participant32 man shut door and police does too gentleman close eye and chairman does too 3
participant32 woman drink water and girl does too system use method and teacher does too 3
participant32 question raise head and issue does too paper address question and project does too 6
participant32 people share interest and organisation does too authority exercise influence and state does too 6
participant32 charity help people and project does too panel discuss issue and board does too 5
participant32 team win match and player does too design reduce amount and technology does too 4
participant32 case require attention and law does too patient need treatment and family does too 3
participant32 charity help people and project does too school encourage child and parent does too 5
participant32 pupil use knowledge and child does too authority exercise influence and state does too 3
participant32 pupil use knowledge and student does too student acquire skill and child does too 5
participant32 user send message and server does too family receive letter and applicant does too 4
participant32 user send message and server does too man hear word and listener does too 5
participant32 man hear word and listener does too people remember name and friend does too 5
participant32 author write book and historian does too man hear word and listener does too 5
participant32 author write book and poet does too writer read word and reader does too 5
participant32 superpower fight war and country does too force win battle and army does too 5
participant32 people play game and team does too worker join party and engineer does too 5
participant32 firm cause injury and storm does too question raise head and issue does too 5
participant32 man wave hand and crowd does too employee start work and business does too 3
participant32 doctor use test and service does too physician pass time and child does too 4
participant32 girl like people and friend does too woman ask man and people does too 6
participant32 man lift hand and wrestler does too question raise head and event does too 3
participant32 people remember name and friend does too physician pass time and child does too 3
participant32 graduate begin career and student does too company suffer loss and worker does too 3
participant32 agent sell property and owner does too family buy home and parent does too 5
participant32 physician pass time and family does too road cross line and bridge does too 3
participant32 user send message and system does too man hear word and listener does too 6
participant32 programme face difficulty and country does too parent set example and government does too 5
participant32 charity help people and volunteer does too panel discuss issue and board does too 5
participant32 committee consider matter and panel does too study pose problem and paper does too 5
participant32 paper address question and book does too study pose problem and paper does too 6
participant32 user send message and system does too family receive letter and council does too 4
participant32 team win match and club does too people play game and child does too 4
participant32 woman ask man and friend does too father stretch arm and player does too 2
participant32 author write book and historian does too man hear word and audience does too 5
participant32 drug produce effect and plant does too employee start work and business does too 3
participant32 report stress importance and minister does too company cut cost and government does too 5
participant32 mother leave house and husband does too school encourage child and parent does too 2
participant32 member attend conference and delegate does too group hold meeting and court does too 6
participant32 man lift hand and woman does too question raise head and issue does too 4
participant32 service provide help and scheme does too product satisfy demand and system does too 6
participant32 question raise head and issue does too paper address question and book does too 6
participant32 student acquire skill and group does too doctor use test and study does too 5
participant32 service provide help and scheme does too product satisfy demand and work does too 6
participant32 report stress importance and official does too company cut cost and council does too 5
participant32 family receive letter and applicant does too survey collect information and council does too 4
participant32 route follow road and trail does too parent set example and government does too 3
participant32 member express view and participant does too pupil achieve end and group does too 6
participant32 man wave hand and crowd does too employee leave company and student does too 3
participant32 employee start work and business does too graduate begin career and band does too 5
participant32 author write book and historian does too delegate buy land and investor does too 5
participant32 team win match and club does too people play game and team does too 6
participant32 customer pay price and business does too company cut cost and council does too 5
participant32 programme offer support and centre does too road cross line and bridge does too 3
participant32 delegate buy land and corporation does too agent sell property and owner does too 6
participant32 wife pour tea and worker does too woman drink water and girl does too 5
participant32 family receive letter and council does too survey collect information and council does too 5
participant32 physician pass time and child does too road cross line and route does too 5
participant32 programme offer support and site does too service provide help and course does too 6
participant32 delegate buy land and corporation does too mother leave house and husband does too 2
participant34 patient need treatment and child does too programme offer support and site does too 6
participant34 man shut door and police does too route follow road and trail does too 2
participant34 route follow road and trail does too parent set example and man does too 2
participant34 author write book and historian does too writer read word and teacher does too 6
participant34 researcher develop technique and university does too government use power and company does too 5
participant34 page provide datum and website does too student reach level and player does too 3
participant34 wife pour tea and man does too woman drink water and girl does too 5
participant34 customer pay price and taxpayer does too graduate begin career and band does too 2
participant34 physician pass time and child does too road cross line and bridge does too 3
participant34 people play game and child does too worker join party and professional does too 2
participant34 man shut door and activist does too page provide datum and website does too 2
participant34 customer pay price and business does too graduate begin career and student does too 2
participant34 paper address question and project does too project present problem and work does too 6
participant34 author write book and historian does too delegate buy land and corporation does too 2
participant34 pupil use knowledge and child does too authority exercise influence and court does too 6
participant34 delegate buy land and investor does too agent sell property and firm does too 5
participant34 medication achieve result and patient does too student reach level and player does too 2
participant34 people share interest and customer does too authority exercise influence and court does too 6
participant34 commodity meet requirement and system does too charity help people and volunteer does too 5
participant34 girl like people and friend does too survey collect information and student does too 2
participant34 charity help people and project does too panel discuss issue and committee does too 2
participant34 woman drink water and man does too system use method and researcher does too 2
participant34 charity help people and volunteer does too school encourage child and campaign does too 6
participant34 gentleman close eye and employer does too father stretch arm and woman does too 4
participant34 plan increase number and change does too design reduce amount and technology does too 6
participant34 company suffer loss and worker does too firm cause injury and storm does too 5
participant34 survey collect information and council does too page provide datum and section does too 2
participant34 agent sell property and owner does too family buy home and father does too 6
participant34 pupil achieve end and school does too student reach level and pupil does too 5
participant34 graduate begin career and band does too company suffer loss and economy does too 2
participant34 superpower fight war and army does too force win battle and army does too 6
participant34 team win match and player does too design reduce amount and technique does too 6
participant34 people play game and child does too worker join party and engineer does too 5
participant34 programme face difficulty and country does too parent set example and man does too 1
participant34 survey collect information and student does too page provide datum and website does too 2
participant34 study pose problem and paper does too programme face difficulty and community does too 2
participant34 force win battle and state does too people play game and team does too 6
participant34 member attend conference and delegate does too people share interest and customer does too 5
participant34 wife pour tea and worker does too study emphasise need and statement does too 1
participant34 group hold meeting and company does too man lift hand and wrestler does too 2
participant34 pupil use knowledge and student does too authority exercise influence and court does too 6
participant34 woman ask man and friend does too user send message and system does too 5
participant34 father stretch arm and player does too man wave hand and referee does too 6
participant34 mother leave house and husband does too family buy home and parent does too 2
participant34 pupil achieve end and group does too student reach level and player does too 2
participant34 case require attention and process does too patient need treatment and family does too 5
participant34 committee consider matter and panel does too panel discuss issue and committee does too 6
participant34 medication achieve result and programme does too student reach level and pupil does too 5
participant34 pupil achieve end and school does too student reach level and player does too 6
participant34 student acquire skill and child does too family buy home and parent does too 5
participant34 superpower fight war and army does too team win match and player does too 6
participant34 member express view and committee does too pupil achieve end and group does too 6
participant34 girl like people and woman does too plan increase number and development does too 3
participant34 group hold meeting and company does too man lift hand and woman does too 2
participant34 pupil achieve end and school does too gentleman close eye and chairman does too 2
participant34 group hold meeting and court does too man lift hand and wrestler does too 2
participant34 plan increase number and development does too design reduce amount and technology does too 5
participant34 design reduce amount and technology does too company cut cost and government does too 5
participant34 man shut door and activist does too route follow road and tour does too 2
participant34 force win battle and state does too commodity meet requirement and system does too 2
participant34 agent sell property and owner does too group hold meeting and company does too 2
participant34 study pose problem and paper does too programme face difficulty and country does too 2
participant34 people share interest and organisation does too member express view and committee does too 6
participant34 superpower fight war and country does too plan increase number and development does too 2
participant34 student acquire skill and group does too family buy home and parent does too 3
participant34 company provide system and university does too government use power and people does too 6
participant34 people share interest and customer does too authority exercise influence and state does too 6
participant34 member express view and participant does too company suffer loss and economy does too 2
participant34 employee start work and team does too graduate begin career and student does too 5
participant34 girl like people and friend does too plan increase number and change does too 2
participant34 member attend conference and delegate does too group hold meeting and company does too 6
participant34 question raise head and event does too paper address question and book does too 6
participant34 gentleman close eye and chairman does too father stretch arm and woman does too 2
participant34 programme face difficulty and community does too parent set example and government does too 6
participant34 woman drink water and girl does too system use method and researcher does too 2
participant34 road cross line and route does too route follow road and tour does too 5
participant34 survey collect information and council does too page provide datum and website does too 4
participant34 government use power and people does too authority exercise influence and state does too 6
participant34 question raise head and event does too paper address question and project does too 2
participant34 pupil use knowledge and student does too company provide system and university does too 5
participant34 author write book and poet does too man hear word and listener does too 5
participant34 mother leave house and father does too school encourage child and parent does too 2
participant34 man lift hand and woman does too question raise head and event does too 2
participant34 researcher develop technique and engineer does too system use method and teacher does too 5
participant34 school encourage child and parent does too employee leave company and student does too 4
participant34 man wave hand and referee does too employee leave company and student does too 2
participant34 pupil achieve end and group does too student reach level and pupil does too 6
participant34 author write book and poet does too man hear word and audience does too 6
participant34 superpower fight war and army does too force win battle and state does too 6
participant34 charity help people and volunteer does too panel discuss issue and committee does too 2
participant34 pupil achieve end and group does too gentleman close eye and chairman does too 3
participant34 superpower fight war and army does too plan increase number and development does too 2
participant34 researcher develop technique and university does too government use power and people does too 2
participant34 graduate begin career and band does too company suffer loss and worker does too 2
participant34 road cross line and bridge does too route follow road and trail does too 6
participant34 drug produce effect and combination does too employee start work and team does too 3
participant34 government use power and people does too authority exercise influence and court does too 6
participant34 firm cause injury and incident does too question raise head and event does too 2
participant34 writer read word and teacher does too family receive letter and council does too 6
participant34 gentleman close eye and chairman does too father stretch arm and player does too 3
participant34 panel discuss issue and committee does too project present problem and work does too 5
participant34 writer read word and reader does too people remember name and friend does too 2
participant34 doctor use test and study does too physician pass time and child does too 4
participant34 girl like people and woman does too survey collect information and student does too 2
participant34 agent sell property and firm does too group hold meeting and court does too 2
participant34 employee start work and business does too graduate begin career and student does too 5
participant34 page provide datum and section does too student reach level and pupil does too 2
participant34 force win battle and state does too commodity meet requirement and product does too 3
participant34 customer pay price and business does too company cut cost and government does too 4
participant34 wife pour tea and worker does too worker join party and professional does too 2
participant34 route follow road and tour does too parent set example and man does too 1
participant34 patient need treatment and child does too system use method and researcher does too 4
participant34 girl like people and woman does too survey collect information and council does too 2
participant34 wife pour tea and man does too study emphasise need and report does too 2
participant34 drug produce effect and plant does too committee consider matter and board does too 2
participant34 man shut door and police does too page provide datum and section does too 2
participant34 school encourage child and campaign does too employee leave company and visitor does too 2
participant34 writer read word and teacher does too people remember name and friend does too 3
participant34 case require attention and law does too customer pay price and business does too 3
participant34 superpower fight war and army does too plan increase number and change does too 3
participant34 writer read word and teacher does too family receive letter and applicant does too 6
participant34 medication achieve result and patient does too man lift hand and woman does too 2
participant34 man wave hand and crowd does too employee start work and team does too 2
participant34 school encourage child and campaign does too employee leave company and student does too 2
participant34 paper address question and project does too study pose problem and question does too 6
